ATF3.logFC	ATF3.PValue	ATF3.FDR	ATF4.logFC	ATF4.PValue	ATF4.FDR	CEBPG.logFC	CEBPG.PValue	CEBPG.FDR	CHOP.logFC	CHOP.PValue	CHOP.FDR
Baat	1.27212263650189	0.761021321837306	0.918886930498404	3.18536406370262	0.617361851790641	0.840449619108348	-0.132648230966751	0.994926980086148	1	0.797077280680184	0.8367774893724	0.951983335567323
Mog	5.52472925252046	0.16186039760715	0.472484260683214	0.964587199668595	0.633892418742026	0.850525172507047	2.29351274486357	0.316630765134075	0.521617156434748	4.61646937081449	0.255646933721547	0.591629440104002
Trpv1	-1.26537699238162	0.965683716685264	0.99125234221256	-6.71333254558573	0.102054867229586	0.353983413717226	-3.36720195230395	0.223333616032672	0.416376453789653	-6.78819392001294	0.225496198712435	0.557464941156952
Bbox1	-7.11760991965406	0.0435495454359849	0.235357026229789	-19.2607916720678	0.0038057638288091	0.0585238862163989	-4.15847075049509	0.0480844411117405	0.145904388652944	-10.7648495961088	0.0179163869959705	0.138220186596637
Tac4	12.8133358249524	0.00595696506106781	0.0656347194512018	8.25064864304004	0.0473579106355939	0.234605213047129	4.44566886818898	0.317791745462272	0.522874901126224	14.1471551905425	0.0030599252840621	0.0444182702525144
Crygs	7.91357924432129	0.00114321601759461	0.0208891874147554	1.38543450449227	1	1	0.452930016987743	1	1	8.59964250136083	0.00155580317825464	0.0286067036001659
1700011I03Rik	0.999491925278386	0.8075560372195	0.936227214521568	-4.83955981467257	0.735087010364174	0.902479472615866	-4.02385990820375	0.114684470700377	0.267651843922678	-4.06554618426983	0.440037610155177	0.744102786167503
Slc9b1	-1.48660877651259	0.641573161050496	0.864761079815649	0.942431357922506	0.814457405400266	0.941498380337505	1.3211303206797	0.613998329690999	0.778264614440997	-1.23648638796328	0.730917195210945	0.907147919734879
Mir6376	-2.15529430727592	0.382692926795127	0.70723538832775	2.9584672010559	0.847918108437061	0.956309763977036	-3.45028496785058	0.123759089870445	0.282223700918114	-5.80232056740425	0.188457954149154	0.513641939217236
Prokr1	8.02366381752029	0.0353524023088503	0.207644628038723	4.8567304898268	0.999652546778373	1	1.9945173117653	1	1	16.7919177992252	0.00426942372901971	0.0555609937338182
Irs4	0.80845508372109	0.80087825733872	0.933683523822887	-11.3794468708367	0.998972288471616	1	3.57242654355029	0.438509907806469	0.634995021404228	1.9339308540316	0.704212445635989	0.895350145873124
Art1	-1.74323384563975	0.999820378870712	1	-5.70755989166971	0.354211700495939	0.655805552022581	-2.82823289879659	1	1	-7.7259494153378	1	1
